Type,Title,Description,Priority,Estimate,Epic,Status,Acceptance Criteria
Epic,Authentication & Account Management,Automated testing for user registration login password reset and 2FA,High,,,Backlog,
Story,Patient Registration,"As a new patient I want to register for a portal account so that I can access my health information online",High,5,Authentication & Account Management,Backlog,"- User can register with email phone and basic info| - Email verification works| - Password security requirements enforced| - Welcome email sent| - HIPAA compliance notice accepted"
Story,Patient Login,"As a registered patient I want to securely login to my account so that I can access my personal health information",High,5,Authentication & Account Management,Backlog,"- Login with email/password works| - Remember me checkbox works| - Session expires after 30 min inactivity| - Invalid credentials error handling| - Account lockout after 5 failed attempts| - MFA enforced if enabled"
Story,Password Reset,"As a patient who forgot their password I want to reset my password securely so that I can regain access to my account",Medium,3,Authentication & Account Management,Backlog,"- Password reset via email works| - Reset link expires after 1 hour| - New password meets requirements| - Confirmation email sent| - Old password cannot be reused| - Reset link single-use only"
Story,Two-Factor Authentication (2FA),"As a security-conscious patient I want to enable 2FA on my account so that my health information is more secure",Medium,5,Authentication & Account Management,Backlog,"- Enable 2FA via SMS or app| - QR code scanning works| - Backup codes provided| - 2FA required on login| - Can disable 2FA with password| - Backup codes can be regenerated"
Epic,Patient Profile Management,Automated testing for viewing and updating patient profile information,High,,,Backlog,
Story,View Profile Information,"As a patient I want to view my profile information so that I can verify my details are correct",High,3,Patient Profile Management,Backlog,"- View personal info (name DOB gender contact)| - View emergency contact| - View insurance info| - View medical history summary| - Sensitive data partially masked"
Story,Update Profile Information,"As a patient I want to update my profile information so that my healthcare providers have current information",High,5,Patient Profile Management,Backlog,"- Edit contact info| - Update emergency contact| - Update insurance info| - Password confirmation for sensitive fields| - Confirmation email sent| - Audit log created| - Form validation works"
Story,Upload Profile Photo,"As a patient I want to upload a profile photo so that providers can easily identify me",Low,3,Patient Profile Management,Backlog,"- Upload JPG PNG GIF files| - 5MB file size limit| - Auto resize/crop to standard dimensions| - Can remove photo| - Content moderation"
Epic,Appointment Management,Automated testing for viewing scheduling and managing appointments,High,,,Backlog,
Story,View Appointments,"As a patient I want to view my upcoming and past appointments so that I can keep track of my healthcare schedule",High,5,Appointment Management,Backlog,"- View upcoming appointments| - View past appointments| - Show provider date time location type| - Calendar view available| - Filter by date range provider type| - Virtual visit links displayed"
Story,Schedule New Appointment,"As a patient I want to schedule a new appointment online so that I don't have to call the office",High,8,Appointment Management,Backlog,"- Select appointment type| - Select preferred provider| - View available time slots| - Select date and time| - Add reason for visit| - Confirmation displayed| - Confirmation email with calendar invite sent"
Story,Cancel/Reschedule Appointment,"As a patient I want to cancel or reschedule my appointment so that I can manage schedule changes",Medium,5,Appointment Management,Backlog,"- Cancel appointment 24h+ in advance| - Provide cancellation reason| - Cancellation confirmation email| - Reschedule to another slot| - Late cancellation warning| - Cancellation policy displayed"
Story,Virtual Visit (Telehealth),"As a patient I want to join virtual appointments so that I can receive care remotely",High,8,Appointment Management,Backlog,"- Join virtual visit from appointment page| - Join button enabled 10 min before| - Video/audio permissions requested| - Test camera/mic before joining| - Waiting room if provider not joined| - Connection quality indicator| - Can end call anytime"
Epic,Medical Records Access,Automated testing for accessing and downloading medical records lab results and visit summaries,High,,,Backlog,
Story,View Lab Results,"As a patient I want to view my lab results so that I can stay informed about my health",High,5,Medical Records Access,Backlog,"- View all lab results| - Show test name date value reference range| - Out-of-range values highlighted| - Filter by date or test type| - Provider notes displayed| - Download as PDF| - New results flagged for 7 days"
Story,View Visit Summaries,"As a patient I want to view summaries of my past visits so that I can review what was discussed and decided",Medium,3,Medical Records Access,Backlog,"- View list of visit summaries| - Summary includes date provider diagnosis treatment plan| - View full visit notes| - Download as PDF| - Print summary| - Available within 24h of visit"
Story,View Medications,"As a patient I want to view my current and past medications so that I can track my prescriptions",High,5,Medical Records Access,Backlog,"- View active medications list| - View medication history| - Show name dosage frequency prescriber| - Refill status displayed| - Request refill if eligible| - View medication instructions"
